VaFdezSen;gl;2;tr;true;SOVEROSA
JSrzSom;gl;2;tr;true;SANCHOI
JSrzSom;gl;2;tr;true;TRASTAMARA            
PaySrzTav;gl;2;tr;true;SANCHOI
PaySrzTav;gl;2;tr;true;TRASTAMARA            
PaySrzTav;gl;2;tr;true;FERNANDOIII            
AfLpzBay;pt;3;tr;true;SOUSA            
EstFai;cas;3;tr;true;FERNANDOIII
EstFai;cas;3;tr;true;AFONSOX            
MartMo;gl;3;tr;true;AFONSOX
JSrzPav;pt;1;tr;true;AFONSOII
MartSrz;pt;3;tr;true;FERNANDOIII
AyCarp;gl;1;tr;true;rodeiro
NuFdzTor;gl;3;tr;true;FERNANDOIII
FerGarEsg;pt;2;tr;true;SOUSA
FerGarEsg;pt;2;tr;true;FERNANDOIII            
FerGarEsg;pt;2;tr;true;AFONSOIII            
RoyQuey;pt;3;tr;true;FERNANDOIII
RoyQuey;pt;3;tr;true;AFONSOX            
VasGil;pt;3;tr;true;SOVEROSA
VasGil;pt;3;tr;true;SANCHOII            
VasGil;pt;3;tr;true;FERNANDOIII           
JSrzCoe;pt;3;tr;true;serpa
JSrzCoe;pt;3;tr;true;RAIMONIV            
JSrzCoe;pt;3;tr;true;FERNANDOIII            
JSrzCoe;pt;3;tr;true;AFONSOIII
RoyPaezRib;gl;3;tr;true;AFONSOX
JLpzUlh;gl;3;tr;true;TRASTAMARA
FerGvzSeav;pt;3;tr;true;AFONSOIII
PGmzBarr;pt;tr;true;AFONSOX
JGarGlh;pt;3;tr;true;SOUSA
JGarGlh;pt;3;tr;true;FERNANDOIII            
JGarGlh;pt;3;tr;true;AFONSOX            
JGarGlh;pt;3;tr;true;AFONSOIII
JVqzTal;cas;3;tr;true;AFONSOX
JVqzTal;cas;3;tr;true;SANCHOIV            
PPon;gl;3;tr;true;FERNANDOIII
PPon;gl;3;tr;true;AFONSOX            
PPon;gl;3;tr;true;HARO            
PPon;gl;3;tr;true;MENESES
Den;pt;3;tr;true;D.DINIS
PayGmzCha;gl;3;tr;true;SANCHOIV
FerVelho;gl;3;tr;true;AFONSOX
BonGen;it;3;tr;true;AFONSOX
RoyFdz;gl;3;tr;true;AFONSOX
VaMrzRes;pt;4;tr;true;D.DINIS
VaMrzRes;pt;4;tr;true;AFONSOIV            
FerEsq;gl;3;tr;true;TRASTAMARA
PPort;pt;4;nb;true;D.DINIS
PPort;pt;4;nb;true;AFONSOXI            
PPort;pt;4;nb;true;D.DINIS            
PPort;pt;4;nb;true;D.PEDRO
EstGuar;pt;4;tr;true;D.DINIS
EstGuar;pt;4;tr;true;AFONSOIV            
Johan;leo;4;jn;true;D.DINIS
Johan;leo;4;jn;true;D.PEDRO            
AfSchz;pt;4;tr;true;D.DINIS
EstCoe;pt;4;tr;true;D.DINIS
GarMdzEi;pt;1;tr;true;SANCHOI
GarMdzEi;pt;1;tr;true;AFONSOIX            
GarMdzEi;pt;1;tr;true;AFONSOII            
GarMdzEi;pt;1;tr;true;SOUSA
OsEa;gl;1;tr;true;TRABA
FerPaezTal;gl;2;tr;true;TRABA
MonFdzMir;gl;2;tr;true;TRASTAMARA
BernBon;gl;2;tr;true;SOUSA
PVelho;gl;2;tr;true;TRASTAMARA
PVelho;gl;2;tr;true;SANCHOI            
RoyGmzBret;pt;2;tr;true;AFONSOIX
RoyGmzBret;pt;2;tr;true;AFONSOIII            
PGarAm;gl;2;tr;true;TRASTAMARA
PGarAm;gl;2;tr;true;FERNANDOIII            
JAy;gl;3;tr;true;AFONSOX
JAy;gl;3;tr;true;SANCHOIV            
AlfX;cas;3;tr;true;AFONSOX
FerSrzQuinh;leo;3;tr;true;AFONSOX
FerSrzQuinh;leo;3;tr;true;SANCHOIV            
PGtrz;leo;3;tr;true;AFONSOX
Cald;arag;3;jn;true;SANCHOIV
Cald;arag;3;jn;true;D.DINIS            
Picandon;occ;3;jn;true;FERNANDOIII
Picandon;occ;3;jn;true;RAIMONIV            
Lour;pt;3;jn;true;AFONSOIII
Lour;pt;3;jn;true;AFONSOX            
Arn;occ;3;tr;true;RAIMONIV
Arn;occ;3;tr;true;AFONSOX            
AfFdzCob;sev;3;tr;true;SANCHOIV
AlfXI;cas;4;tr;true;AFONSOXI
GmzGar;cas;3;tr;true;SANCHOIV